[2024-08-13 15:40:20,020][src.train.train_pattern_generation][INFO] - train epoch 027 MSE 2.5919 NMSE 16.199
[2024-08-13 15:40:20,021][src.train.train_pattern_generation][INFO] - 	 Starting Epoch:28 
[2024-08-13 15:40:20,451][src.train.train_pattern_generation][INFO] - train epoch 028 MSE 2.3026 NMSE 14.391
[2024-08-13 15:40:20,919][src.train.train_pattern_generation][INFO] - 	 Starting Epoch:29 
[2024-08-13 15:40:21,352][src.train.train_pattern_generation][INFO] - train epoch 029 MSE 2.2722 NMSE 14.201
[2024-08-13 15:40:21,353][src.train.train_pattern_generation][INFO] - 	 Starting Epoch:30 
[2024-08-13 15:40:21,782][src.train.train_pattern_generation][INFO] - train epoch 030 MSE 2.0728 NMSE 12.955
[2024-08-13 15:40:21,783][src.train.train_pattern_generation][INFO] - 	 Starting Epoch:31 
[2024-08-13 15:40:22,215][src.train.train_pattern_generation][INFO] - train epoch 031 MSE 2.1588 NMSE 13.493
[2024-08-13 15:40:22,216][src.train.train_pattern_generation][INFO] - 	 Starting Epoch:32 
[2024-08-13 15:40:22,646][src.train.train_pattern_generation][INFO] - train epoch 032 MSE 1.9981 NMSE 12.488
[2024-08-13 15:40:22,647][src.train.train_pattern_generation][INFO] - 	 Starting Epoch:33 
[2024-08-13 15:40:23,080][src.train.train_pattern_generation][INFO] - train epoch 033 MSE 1.7979 NMSE 11.237
[2024-08-13 15:40:23,081][src.train.train_pattern_generation][INFO] - 	 Starting Epoch:34 
[2024-08-13 15:40:23,509][src.train.train_pattern_generation][INFO] - train epoch 034 MSE 1.7736 NMSE 11.085
[2024-08-13 15:40:23,510][src.train.train_pattern_generation][INFO] - 	 Starting Epoch:35 
[2024-08-13 15:40:23,941][src.train.train_pattern_generation][INFO] - train epoch 035 MSE 1.7050 NMSE 10.656
[2024-08-13 15:40:23,942][src.train.train_pattern_generation][INFO] - 	 Starting Epoch:36 
[2024-08-13 15:40:24,373][src.train.train_pattern_generation][INFO] - train epoch 036 MSE 1.5577 NMSE 9.736
[2024-08-13 15:40:24,374][src.train.train_pattern_generation][INFO] - 	 Starting Epoch:37 
[2024-08-13 15:40:24,805][src.train.train_pattern_generation][INFO] - train epoch 037 MSE 1.5177 NMSE 9.486
[2024-08-13 15:40:24,806][src.train.train_pattern_generation][INFO] - 	 Starting Epoch:38 
[2024-08-13 15:40:25,238][src.train.train_pattern_generation][INFO] - train epoch 038 MSE 1.4397 NMSE 8.998
[2024-08-13 15:40:25,239][src.train.train_pattern_generation][INFO] - 	 Starting Epoch:39 
[2024-08-13 15:40:25,669][src.train.train_pattern_generation][INFO] - train epoch 039 MSE 1.4221 NMSE 8.888
[2024-08-13 15:40:25,670][src.train.train_pattern_generation][INFO] - 	 Starting Epoch:40 
[2024-08-13 15:40:26,101][src.train.train_pattern_generation][INFO] - train epoch 040 MSE 1.3534 NMSE 8.459
[2024-08-13 15:40:26,102][src.train.train_pattern_generation][INFO] - 	 Starting Epoch:41 
[2024-08-13 15:40:26,532][src.train.train_pattern_generation][INFO] - train epoch 041 MSE 1.2299 NMSE 7.687
[2024-08-13 15:40:26,533][src.train.train_pattern_generation][INFO] - 	 Starting Epoch:42 
[2024-08-13 15:40:26,962][src.train.train_pattern_generation][INFO] - train epoch 042 MSE 1.3026 NMSE 8.141
[2024-08-13 15:40:27,261][src.train.train_pattern_generation][INFO] - 	 Starting Epoch:43 
[2024-08-13 15:40:27,692][src.train.train_pattern_generation][INFO] - train epoch 043 MSE 1.1563 NMSE 7.227
[2024-08-13 15:40:27,693][src.train.train_pattern_generation][INFO] - 	 Starting Epoch:44 
[2024-08-13 15:40:28,124][src.train.train_pattern_generation][INFO] - train epoch 044 MSE 1.1610 NMSE 7.256
[2024-08-13 15:40:28,125][src.train.train_pattern_generation][INFO] - 	 Starting Epoch:45 
[2024-08-13 15:40:28,556][src.train.train_pattern_generation][INFO] - train epoch 045 MSE 1.1247 NMSE 7.030
[2024-08-13 15:40:28,557][src.train.train_pattern_generation][INFO] - 	 Starting Epoch:46 
[2024-08-13 15:40:28,988][src.train.train_pattern_generation][INFO] - train epoch 046 MSE 1.0598 NMSE 6.624
[2024-08-13 15:40:28,989][src.train.train_pattern_generation][INFO] - 	 Starting Epoch:47 
[2024-08-13 15:40:29,420][src.train.train_pattern_generation][INFO] - train epoch 047 MSE 1.0166 NMSE 6.354
[2024-08-13 15:40:29,421][src.train.train_pattern_generation][INFO] - 	 Starting Epoch:48 
[2024-08-13 15:40:29,851][src.train.train_pattern_generation][INFO] - train epoch 048 MSE 0.9737 NMSE 6.086
[2024-08-13 15:40:29,852][src.train.train_pattern_generation][INFO] - 	 Starting Epoch:49 
[2024-08-13 15:40:30,283][src.train.train_pattern_generation][INFO] - train epoch 049 MSE 0.8841 NMSE 5.526
[2024-08-13 15:40:30,284][src.train.train_pattern_generation][INFO] - 	 Starting Epoch:50 
[2024-08-13 15:40:30,714][src.train.train_pattern_generation][INFO] - train epoch 050 MSE 0.9396 NMSE 5.873
[2024-08-13 15:40:30,715][src.train.train_pattern_generation][INFO] - 	 Starting Epoch:51 
[2024-08-13 15:40:31,146][src.train.train_pattern_generation][INFO] - train epoch 051 MSE 0.8567 NMSE 5.354
[2024-08-13 15:40:31,276][src.train.train_pattern_generation][INFO] - eval  epoch 051 MSE 0.8296 nMSE 5.19
[2024-08-13 15:40:31,276][src.train.train_pattern_generation][INFO] - 	 Starting Epoch:52 
[2024-08-13 15:40:31,706][src.train.train_pattern_generation][INFO] - train epoch 052 MSE 0.8522 NMSE 5.326
[2024-08-13 15:40:31,707][src.train.train_pattern_generation][INFO] - 	 Starting Epoch:53 
[2024-08-13 15:40:32,132][src.train.train_pattern_generation][INFO] - train epoch 053 MSE 0.7695 NMSE 4.809
[2024-08-13 15:40:32,133][src.train.train_pattern_generation][INFO] - 	 Starting Epoch:54 
[2024-08-13 15:40:32,556][src.train.train_pattern_generation][INFO] - train epoch 054 MSE 0.8273 NMSE 5.170
[2024-08-13 15:40:32,557][src.train.train_pattern_generation][INFO] - 	 Starting Epoch:55 
[2024-08-13 15:40:32,980][src.train.train_pattern_generation][INFO] - train epoch 055 MSE 0.7591 NMSE 4.744
[2024-08-13 15:40:32,982][src.train.train_pattern_generation][INFO] - 	 Starting Epoch:56 
[2024-08-13 15:40:33,410][src.train.train_pattern_generation][INFO] - train epoch 056 MSE 0.7552 NMSE 4.720
[2024-08-13 15:40:33,889][src.train.train_pattern_generation][INFO] - 	 Starting Epoch:57 
[2024-08-13 15:40:34,313][src.train.train_pattern_generation][INFO] - train epoch 057 MSE 0.7094 NMSE 4.434
[2024-08-13 15:40:34,314][src.train.train_pattern_generation][INFO] - 	 Starting Epoch:58 
[2024-08-13 15:40:34,737][src.train.train_pattern_generation][INFO] - train epoch 058 MSE 0.6986 NMSE 4.366
[2024-08-13 15:40:34,738][src.train.train_pattern_generation][INFO] - 	 Starting Epoch:59 
[2024-08-13 15:40:35,164][src.train.train_pattern_generation][INFO] - train epoch 059 MSE 0.6972 NMSE 4.357
[2024-08-13 15:40:35,165][src.train.train_pattern_generation][INFO] - 	 Starting Epoch:60 
